Publication Name,Abbreviated Name,School Level,Admission Type,Current Grade Span Served,GPS Location,Street Address,Website
William M. Meredith School,Meredith,Elementary-Middle,Neighborhood,'00-08,"39.93974936, -75.15113339",725 S 5TH ST,http://philasd.org/meredith
Robert Morris School,Morris,Elementary-Middle,Neighborhood,'00-08,"39.975439, -75.178660",2600 W THOMPSON ST,http://philasd.org/morris
Girard Academic Music Program,GAMP,Middle-High,Special Admit,'05-12,"39.92210463, -75.18256439",2136 W RITNER ST,http://philasd.org/gamp
Edwin M. Stanton School,Stanton,Elementary-Middle,Neighborhood,'00-08,"39.940503, -75.171017",901 S. 17TH ST.,http://philasd.org/emstanton
Albert M. Greenfield School,Greenfield,Elementary-Middle,Neighborhood,'00-08,"39.95227234, -75.17739206",2200 CHESTNUT ST,http://philasd.org/greenfield
Chester A. Arthur School,Arthur,Elementary-Middle,Neighborhood,'00-08,"39.94190083, -75.17569882",2000 CATHARINE ST,http://philasd.org/arthur
Laura W. Waring School,Waring,Elementary-Middle,Neighborhood,'00-08,"39.96491939, -75.1677006",1801 GREEN ST,http://philasd.org/waring
Andrew Jackson School,Jackson,Elementary-Middle,Neighborhood,'00-08,"39.934623, -75.163481",1213 S 12TH ST,http://philasd.org/jackson
Abram S. Jenks School,"Jenks, A.S",Elementary,Neighborhood,'00-05,"39.918773, -75.168367",2501 S 13TH ST,http://philasd.org/asjenks
Phila. Juv. Justice Services Ctr. School,PJJSCS,Middle-High,Alternative,'06-12,"39.96136565, -75.21572624",91 N 48TH ST,http://philasd.org/pjjsc
Francis S. Key School,Key,Elementary,Neighborhood,'00-06,"39.9213857, -75.1601961",2230 S 8TH ST,http://philasd.org/key
Eliza B. Kirkbride School,Kirkbride,Elementary-Middle,Neighborhood,'00-08,"39.930020, -75.156466",1501 S 7TH ST,http://philasd.org/kirkbride
George W. Nebinger School,Nebinger,Elementary-Middle,Neighborhood,'00-08,"39.936694, -75.153830",601 CARPENTER ST,http://philasd.org/nebinger
Academy at Palumbo,Palumbo,High,Special Admit,'09-12,"39.94019787, -75.16194915",1100 CATHARINE ST,http://philasd.org/palumbo
George W. Sharswood School,Sharswood,Elementary-Middle,Neighborhood,'00-08,"39.91935714, -75.15055053",2300 S 2ND ST,http://philasd.org/sharswood
Southwark School,Southwark,Elementary-Middle,Neighborhood,'00-08,"39.92637775, -75.16053168",1835 S 9TH ST,http://philasd.org/southwark
Science Leadership Academy,SLA,High,Special Admit,'09-12,"39.963701, -75.162516",1482 GREEN ST,http://philasd.org/sla
Constitution High School,Constitution,High,Citywide,'09-12,"39.950252, -75.152336",18 S 7TH ST,http://philasd.org/constitutionhs
The Science Leadership Academy at Beeber,SLA at Beeber,Middle-High,Special Admit,"'05-07, 09-12","39.98610221, -75.24192008",5925 MALVERN AVE,http://philasd.org/slabeeber
John H. Taggart School,Taggart,Elementary-Middle,Neighborhood,'00-08,"39.91721223, -75.15452237",400 W PORTER ST,http://philasd.org/taggart
Vare-Washington School,Vare-Washington,Elementary-Middle,Neighborhood,'00-08,"39.93427949, -75.15252649",1198 S 5TH ST,http://philasd.org/vare
Excel Middle Years Academy,Excel Middle,Middle,Alternative,'06-08,"39.99074371, -75.18402464",4300 WESTMINSTER AVE,https://cameloteducation.org/our-schools/transitional-schools/excel-middle-years-academy/
Crossroads at Hunting Park,Crossroads @HP,Elementary,Alternative,'03-06,"40.01425525, -75.12599679",4224 N FRONT ST,http://philasd.org/crossroads-huntingpark
Ben Franklin High School EOP,Franklin EOP,High,Alternative,'09-12,"39.962909, -75.159210",540 N 13TH ST,https://www.philasd.org/alternative
Liguori Academy-Fortis,Liguori Fortis,High,Alternative,'09-12,"39.994204, -75.111842",1952 E ALLEGHENY AVE,https://www.liguoriacademy.org/fortis-program
Excel Academy South,Excel South,High,Alternative,'09-12,"40.02608143, -75.10251944",4641 ROOSEVELT BLVD,http://cameloteducation.org/our-schools/accelerated-schools/excel-academy-south
El Centro de Estudiantes (Big Picture),El Centro,High,Alternative,'09-12,"40.011798, -75.090845",4290 PENN ST,http://www.bigpicturephiladelphia.org
Ombudsman Northwest,Ombudsman NW,High,Alternative,'09-12,"40.05586457, -75.15648403",2111 EASTBURN AVE,http://www.ombudsman.com/state/pa
One Bright Ray - Elmwood Campus,OBR Elmwood,High,Alternative,'09-12,"39.92251591, -75.22908493",6404 ELMWOOD AVE,http://www.onebrightraycommunity.org
Camelot Academy East,Camelot Hunting Park,Middle-High,Alternative,'07-12,"40.01425525, -75.12599679",4224 N FRONT ST,http://cameloteducation.org/our-schools/transitional-schools/camelot-academy-east
Philadelphia OIC Workforce Academy,Phila OIC,High,Alternative,'09-12,"39.972966, -75.158721",1231 N BROAD ST,http://philaoic.org/workforce-academy
Northeast High School EOP,NE High EOP,High,Alternative,'09-12,"40.055681, -75.071168",1601 COTTMAN AVE,https://www.philasd.org/alternative
South Philadelphia High School EOP,South Philly EOP,High,Alternative,'09-12,"39.9238987, -75.1691065",2101 S BROAD ST,https://www.philasd.org/alternative
Overbrook High School,Overbrook High,High,Neighborhood,'09-12,"39.981028, -75.238556",5898 LANCASTER AVE,http://philasd.org/overbrookhs
High School of Engineering and Science,Carver,Middle-High,Special Admit,'07-12,"39.98341809, -75.16127789",1600 W NORRIS ST,http://philasd.org/hses
Murrell Dobbins Career and Technical High School,Dobbins,High,Citywide,'09-12,"39.9954293, -75.16679334",2150 W LEHIGH AVE,http://philasd.org/dobbins
Strawberry Mansion High School,Strawberry Mansion,High,Neighborhood,"'09-10, 12","39.99074371, -75.18402464",3133 RIDGE AVE,http://philasd.org/smhs
James G. Blaine School,Blaine,Elementary-Middle,Neighborhood,'00-08,"39.98521297, -75.18293887",3001 W BERKS ST,http://philasd.org/blaine
Lewis C. Cassidy Academics Plus School,Cassidy,Elementary-Middle,Neighborhood,'00-08,"39.97551874, -75.25077443",6523 LANSDOWNE AVE,http://philasd.org/cassidy
William Dick School,"Dick, William",Elementary-Middle,Neighborhood,'00-08,"39.986730, -75.173787",2498 W DIAMOND ST,http://philasd.org/wdick
Samuel Gompers School,Gompers,Elementary-Middle,Neighborhood,'00-08,"39.99205763, -75.23754028",5701 WYNNEFIELD AVE,http://philasd.org/gompers
Edward Heston School,Heston,Elementary-Middle,Neighborhood,'00-08,"39.977852, -75.229727",1621 N 54TH ST,http://philasd.org/heston
Robert E. Lamberton School,Lamberton,Elementary-Middle,Neighborhood,'00-08,"39.975465, -75.266329",7501 WOODBINE AVE,http://philasd.org/lamberton
E. Washington Rhodes School,Rhodes,Elementary-Middle,Neighborhood,'00-08,"40.00275594, -75.17812979",2900 W CLEARFIELD ST,http://philasd.org/rhodes
Kenderton Elementary School,Kenderton,Elementary-Middle,Neighborhood,'00-08,"40.004940, -75.154241",1500 W ONTARIO ST,http://philasd.org/kenderton
Overbrook Elementary School,Overbrook Elem,Elementary-Middle,Neighborhood,'00-08,"39.98225806, -75.24584611",2032 N 62ND ST,http://philasd.org/overbrook
Thomas M. Peirce School,Peirce,Elementary,Neighborhood,'00-06,"39.998839, -75.168424",3300 HENRY AVE,http://philasd.org/tmpeirce
Dr. Ethel Allen School,"Allen, Ethel",Elementary-Middle,Neighborhood,'00-08,"39.99757697, -75.18345963",3200 W LEHIGH AVE,http://philasd.org/ethelallen
Tanner G. Duckrey School,Duckrey,Elementary-Middle,Neighborhood,'00-08,"39.98520302, -75.15830107",1501 W DIAMOND ST,http://philasd.org/duckrey
Richard R. Wright School,Wright,Elementary,Neighborhood,'00-05,"39.99043963, -75.17699812",2201 N 28TH ST,http://philasd.org/wright
Overbrook Educational Center,Overbrook EC,Elementary-Middle,Citywide,'00-08,"39.97429952, -75.25401239",6722 LANSDOWNE AVE,http://philasd.org/oec
Edward Gideon School,Gideon,Elementary-Middle,Neighborhood,'00-08,"39.98447594, -75.18016456",2817 W GLENWOOD AVE,http://philasd.org/gideon
William D. Kelley School,Kelley,Elementary-Middle,Neighborhood,'00-08,"39.98039173, -75.18032689",1601 N 28TH ST,http://philasd.org/kelley
General George G. Meade School,Meade,Elementary-Middle,Neighborhood,'00-08,"39.978587, -75.164718",1600 N 18TH ST,http://philasd.org/meade
Thomas A. Edison High School,Edison,High,Neighborhood,'09-12,"40.01116485, -75.12863791",151 W LUZERNE ST,http://philasd.org/edison
Philadelphia Military Academy,PMA,High,Citywide,'09-12,"39.98470959, -75.15443401",2118 N. 13TH ST.,http://philasd.org/pma
Jules E. Mastbaum Area Vocational Technical High School,Mastbaum,High,Citywide,'09-12,"39.99214686, -75.11213573",3116 FRANKFORD AVE,http://philasd.org/mastbaum
Parkway Northwest High School,Parkway N.W.,High,Special Admit,'09-12,"40.05664074, -75.16457453",6200 CRITTENDEN ST,http://philasd.org/parkwaynw
Parkway Center City Middle College High School,Parkway C.C.,High,Special Admit,'09-12,"39.96300501, -75.1592865",540 N 13TH ST,http://philasd.org/parkwaycc
Parkway West High School,Parkway W.,High,Special Admit,'09-12,"39.96425379, -75.21546704",4725 FAIRMOUNT AVE,http://philasd.org/parkwaywest
William W. Bodine High School,Bodine,High,Special Admit,'09-12,"39.96793026, -75.14343443",1101 N 4TH ST,http://philasd.org/bodine
Penn Treaty High School,Penn Treaty,Middle-High,Neighborhood,'06-12,"39.97272711, -75.12787008",600 E THOMPSON ST,http://philasd.org/penntreaty
Julia de Burgos School,De Burgos,Elementary-Middle,Neighborhood,'00-08,"39.99275164, -75.13862743",401 W LEHIGH AVE,http://philasd.org/deburgos
Vaux High School: A Big Picture,Vaux High,High,Neighborhood,'09-12,"39.976325, -75.174186",2300 W MASTER ST,http://philasd.org/vaux
Alexander Adaire School,Adaire,Elementary-Middle,Neighborhood,'00-08,"39.97232661, -75.12930989",1300 E PALMER ST,http://philasd.org/adaire
Henry A. Brown School,"Brown, Henry",Elementary-Middle,Neighborhood,'00-08,"39.98661748, -75.12725674",1946 E SERGEANT ST,http://philasd.org/habrown
Russell H. Conwell School,Conwell,Middle,Special Admit,'05-08,"39.99471406, -75.11527383",1849 E CLEARFIELD ST,http://philasd.org/conwell
Paul L. Dunbar School,Dunbar,Elementary-Middle,Neighborhood,'00-08,"39.97948773, -75.15416974",1750 N 12TH ST,http://philasd.org/dunbar
Lewis Elkin School,Elkin,Elementary,Neighborhood,'00-04,"39.997018, -75.121274",3199 D ST,http://philasd.org/elkin
Horatio B. Hackett School,Hackett,Elementary,Neighborhood,'00-05,"39.98096374, -75.12685511",2161 E YORK ST,http://philasd.org/hackett
John F. Hartranft School,Hartranft,Elementary-Middle,Neighborhood,'00-08,"39.98942228, -75.14477741",720 W CUMBERLAND ST,http://philasd.org/hartranft
William H. Hunter School,Hunter,Elementary-Middle,Neighborhood,'00-08,"39.98725028, -75.13176356",2400 N FRONT ST,http://philasd.org/hunter
James R. Ludlow School,Ludlow,Elementary-Middle,Neighborhood,'00-08,"39.972724, -75.145854",550 W MASTER ST,http://philasd.org/ludlow
William McKinley School,McKinley,Elementary-Middle,Neighborhood,'00-08,"39.9827686, -75.14165528",2101 N ORKNEY ST,http://philasd.org/mckinley
John Moffet School,Moffet,Elementary,Neighborhood,'00-05,"39.97439362, -75.13498462",127 W OXFORD ST,http://philasd.org/moffet
Potter-Thomas School,Potter-Thomas,Elementary-Middle,Neighborhood,'00-08,"39.99690701, -75.14107646",3001 N 6TH ST,http://philasd.org/potterthomas
Richmond School,Richmond,Elementary,Neighborhood,'00-05,"39.983496, -75.110491",2944 BELGRADE ST,http://philasd.org/richmond
Isaac A. Sheppard School,Sheppard,Elementary,Neighborhood,'00-04,"39.993651, -75.131630",120 W CAMBRIA ST,http://philasd.org/sheppard
John Welsh School,Welsh,Elementary-Middle,Neighborhood,'00-08,"39.98653438, -75.13941869",2331 N 4TH ST,http://philasd.org/welsh
Alternative Middle Years at James Martin,AMY at Martin,Middle,Citywide,'06-08,"39.98529996, -75.09718185",3380 RICHMOND ST,http://philasd.org/amymartin
Frances E. Willard School,Willard,Elementary,Neighborhood,'00-04,"39.993065, -75.115907",1930 E ELKHART ST,http://philasd.org/willard
William Cramp School,Cramp,Elementary,Neighborhood,'00-05,"40.00260657, -75.13036297",3449 N MASCHER ST,http://philasd.org/cramp
General Philip Kearny School,Kearny,Elementary-Middle,Neighborhood,'00-08,"39.96385753, -75.14812935",601 FAIRMOUNT AVE,http://philasd.org/kearny
Cayuga School,Cayuga,Elementary,Neighborhood,'00-05,"40.017826, -75.135246",4344 N 5TH ST,http://philasd.org/cayuga
Thurgood Marshall School,"Marshall, Thurgood",Elementary-Middle,Neighborhood,'00-08,"40.02938155, -75.13416332",5120 N 6TH ST,http://philasd.org/thurgoodmarshall
Kensington High School for Creative and Performing Arts,Kensington CAPA,High,Neighborhood,'09-12,"39.97794956, -75.1330532",1901 N FRONT ST,http://philasd.org/kcapa
Philip H. Sheridan School,Sheridan,Elementary,Neighborhood,'00-04,"39.99974725, -75.11478572",800 E ONTARIO ST,http://philasd.org/sheridan
Kensington Health Sciences Academy,Kensington Health,High,Neighborhood,'09-12,"39.985026, -75.128685",2463 EMERALD ST,http://philasd.org/khsa
Spring Garden School,Spring Garden,Elementary-Middle,Neighborhood,'00-08,"39.96516155, -75.15614042",1146 MELON ST,http://philasd.org/springgarden
John H. Webster School,Webster,Elementary,Neighborhood,'00-05,"39.996199, -75.104516",3400 FRANKFORD AVE,http://philasd.org/webster
Building 21,Building 21,High,Citywide,'09-12,"40.053631, -75.152481",6501 LIMEKILN PIKE,http://philasd.org/building21
The U School,U School,High,Citywide,'09-12,"39.981983, -75.146256",2000 N 7TH ST,http://philasd.org/uschool
The LINC,LINC,High,Citywide,'09-12,"40.006819, -75.129736",122 W ERIE AVE,http://philasd.org/thelinc
Honorable Luis Munoz-Marin School,Munoz-Marin,Elementary-Middle,Neighborhood,'00-08,"40.00098011, -75.13538958",3300 N 3RD ST,http://philasd.org/munozmarin
Kensington High School,Kensington H.S.,High,Neighborhood,'09-12,"39.98483396, -75.12640188",2501 CORAL ST.,http://philasd.org/kensingtonhs
Central High School,Central,High,Special Admit,'09-12,"40.0372851, -75.15074825",1700 W OLNEY AVE,http://philasd.org/centralhs
Roxborough High School,Roxborough,High,Neighborhood,'09-12,"40.03802479, -75.22283357",6498 RIDGE AVE,http://philasd.org/roxboroughhs
Walter B. Saul High School,Saul,High,Special Admit,'09-12,"40.04902036, -75.21981676",7100 HENRY AVE,http://philasd.org/saul
Philadelphia High School for Girls,Girls,High,Special Admit,'09-12,"40.03898514, -75.14475989",1400 W OLNEY AVE,http://philasd.org/girlshs
Martin Luther King High School,MLK,High,Neighborhood,'09-12,"40.05756238, -75.16217184",6100 STENTON AVE,http://philasd.org/mlkhs
A. Philip Randolph Career and Technical High School,Randolph,High,Citywide,'09-12,"40.008504, -75.179609",3101 HENRY AVE,http://philasd.org/randolph
Anna B. Day School,Day,Elementary-Middle,Neighborhood,'00-08,"40.05840682, -75.16833464",6324 CRITTENDEN ST,http://philasd.org/abday
Franklin S. Edmonds School,Edmonds,Elementary-Middle,Neighborhood,'00-08,"40.0717255, -75.1692495",8025 THOURON AVE,http://philasd.org/edmonds
Eleanor C. Emlen School,Emlen,Elementary,Neighborhood,'00-05,"40.05436289, -75.17790573",6501 CHEW AVE,http://philasd.org/emlen
Fitler Academics Plus School,Fitler,Elementary-Middle,Citywide,'00-08,"40.02610052, -75.16633733",140 W SEYMOUR ST,http://philasd.org/fitler
Charles W. Henry School,Henry,Elementary-Middle,Neighborhood,'00-08,"40.04625771, -75.19658776",601 CARPENTER LN,http://philasd.org/henry
Henry H. Houston School,Houston,Elementary-Middle,Neighborhood,'00-08,"40.059003, -75.195084",7300 RURAL LN.,http://philasd.org/houston
Jenks Academy for Arts and Sciences,"Jenks, J.S.",Elementary-Middle,Neighborhood,'00-08,"40.07440887, -75.20356162",8301 GERMANTOWN AVE,http://philasd.org/jsjenks
James Logan School,Logan,Elementary,Neighborhood,'00-05,"40.03085306, -75.15205995",1700 LINDLEY AVE,http://philasd.org/logan
John F. McCloskey School,McCloskey,Elementary-Middle,Neighborhood,'00-08,"40.08162668, -75.17533748",8500 PICKERING AVE,http://philasd.org/mccloskey
Thomas Mifflin School,Mifflin,Elementary-Middle,Neighborhood,'00-08,"40.01357043, -75.19128804",3624 CONRAD ST,http://philasd.org/mifflin
Joseph Pennell School,Pennell,Elementary,Neighborhood,'00-05,"40.04351806, -75.15208663",1800 NEDRO AVE,http://philasd.org/pennell
Samuel Pennypacker School,Pennypacker,Elementary-Middle,Neighborhood,'00-08,"40.06527032, -75.1597946",1858 E WASHINGTON LN,http://philasd.org/pennypacker
Theodore Roosevelt School,Roosevelt,Elementary-Middle,Neighborhood,'00-08,"40.04856262, -75.17529079",430 E WASHINGTON LN,http://philasd.org/roosevelt
Shawmont School,Shawmont,Elementary-Middle,Neighborhood,'00-08,"40.051478, -75.238543",535 SHAWMONT AVE,http://philasd.org/shawmont
Edward T. Steel School,Steel,Elementary-Middle,Neighborhood,'00-08,"40.01879502, -75.15689064",4301 WAYNE AVE,http://philasd.org/steel
Widener Memorial School,Widener,Elementary-Middle-High,Citywide,'00-12,"40.036706, -75.146598",1450 W OLNEY AVE,http://philasd.org/widener
Cook-Wissahickon School,Cook-Wissahickon,Elementary-Middle,Neighborhood,'00-08,"40.022472, -75.206802",201 E SALAIGNAC ST,http://philasd.org/cookwissahickon
Anna L. Lingelbach School,Lingelbach,Elementary-Middle,Neighborhood,'00-08,"40.03708413, -75.18961364",6340 WAYNE AVE,http://philasd.org/lingelbach
James Dobson School,Dobson,Elementary-Middle,Neighborhood,'00-08,"40.03147536, -75.23067163",4667 UMBRIA ST,http://philasd.org/dobson
Hill-Freedman World Academy,Hill-Freedman,Middle-High,Special Admit,'06-12,"40.071311, -75.175303",1100 E MOUNT PLEASANT AVE,http://philasd.org/hfwa
John B. Kelly School,Kelly,Elementary,Neighborhood,'00-05,"40.02479143, -75.1711868",5116 PULASKI AVE,http://philasd.org/kelly
Academy for the Middle Years at Northwest,AMY at Northwest,Middle,Special Admit,'06-08,"40.03154543, -75.21317609",6000 RIDGE AVE,http://philasd.org/amynw
Lankenau High School,Lankenau,High,Special Admit,'09-12,"40.06153271, -75.25295594",201 SPRING LN,http://philasd.org/lankenau
Frankford High School,Frankford,High,Neighborhood,'09-12,"40.021602, -75.084823",5000 OXFORD AVE,http://philasd.org/frankfordhs
Jay Cooke School,Cooke,Elementary-Middle,Neighborhood,'00-08,"40.025526, -75.146074",1300 W LOUDON ST,http://philasd.org/cooke
Warren G. Harding School,Harding,Middle,Neighborhood,'06-08,"40.01291694, -75.07456081",2000 WAKELING ST,http://philasd.org/harding
Samuel Fels High School,Fels,High,Neighborhood,'09-12,"40.03564646, -75.09109404",5500 LANGDON ST,https://www.philasd.org/fels
General Louis Wagner School,Wagner,Middle,Neighborhood,'06-08,"40.05174748, -75.14767962",1701 W CHELTEN AVE,http://philasd.org/wagner
Juniata Park Academy,Juniata Park,Elementary-Middle,Neighborhood,'00-08,"40.01284122, -75.11102921",801 E HUNTING PARK AVE,http://philasd.org/juniatapark
Clara Barton School,Barton,Elementary,Neighborhood,'00-02,"40.0193401, -75.11950188",4600 ROSEHILL ST,http://philasd.org/barton
Laura H. Carnell School,Carnell,Elementary,Neighborhood,'00-05,"40.038957, -75.084142",1100 DEVEREAUX AVE,http://philasd.org/carnell
Ellwood School,Ellwood,Elementary,Neighborhood,'00-05,"40.05472609, -75.13894107",6701 N 13TH ST,http://philasd.org/ellwood
Thomas K. Finletter School,Finletter,Elementary-Middle,Neighborhood,'00-08,"40.043608, -75.119176",6100 N FRONT ST,https://www.philasd.org/finletter
Benjamin Franklin School,Franklin K8,Elementary-Middle,Neighborhood,'00-08,"40.04215213, -75.10498859",5735 RISING SUN AVE,http://philasd.org/franklin
Allen M. Stearne School,Stearne,Elementary-Middle,Neighborhood,'00-08,"40.011752, -75.085112",1655 UNITY ST,http://philasd.org/stearne
Francis Hopkinson School,Hopkinson,Elementary-Middle,Neighborhood,'00-08,"40.00771059, -75.10274511",4001 L ST,http://philasd.org/hopkinson
Feltonville Intermediate School,Feltonville Int,Elementary,Neighborhood,'03-05,"40.02034002, -75.12102564",238 E WYOMING AVE,http://philasd.org/fint
Julia W. Howe School,Howe,Elementary,Neighborhood,'00-05,"40.04113187, -75.14211131",5800 N 13TH ST,http://philasd.org/howe
Henry W. Lawton School,Lawton,Elementary,Neighborhood,'00-05,"40.020648, -75.058976",6101 JACKSON ST,http://philasd.org/lawton
James R. Lowell School,Lowell,Elementary,Neighborhood,'00-04,"40.04086578, -75.12871963",450 W NEDRO AVE,http://philasd.org/lowell
John Marshall School,"Marshall, John",Elementary,Neighborhood,'00-05,"40.014546, -75.087158",4500 GRISCOM ST,http://philasd.org/johnmarshall
"Grover Washington, Jr. School","Washington, Grover",Middle,Neighborhood,'05-08,"40.035479, -75.117969",201 E OLNEY AVE,http://philasd.org/gwjr
Alexander K. McClure School,McClure,Elementary,Neighborhood,'00-05,"40.015178, -75.137574",600 W HUNTING PARK AVE,http://philasd.org/mcclure
Andrew J. Morrison School,Morrison,Elementary-Middle,Neighborhood,'00-08,"40.02843729, -75.12941126",5100 N 3RD ST,http://philasd.org/morrison
Olney School,Olney,Elementary-Middle,Neighborhood,'00-08,"40.03058672, -75.12134354",5301 N WATER ST,http://philasd.org/olney
James J. Sullivan School,Sullivan,Elementary,Neighborhood,'00-05,"40.01529786, -75.06706036",5300 DITMAN ST,http://philasd.org/sullivan
Bayard Taylor School,Taylor,Elementary,Neighborhood,'00-05,"40.00753033, -75.13793972",3698 N RANDOLPH ST,http://philasd.org/taylor
